STN---;YEARMODA;TEMP;DEWP;VISIB;;WDSP;;MXSPD;GUST;MAX;MIN;PRCP;SNDP;FRSHTT
85360;19900906;70,2;60,6;5,7;24;6,6;24;9,9;999,9;84.2*;62.6*;0.00I;999,9;0
85360;19900907;69,7;60,7;5,7;24;4,3;24;9,9;999,9;84.2*;60.8*;0.00I;999,9;0
85360;19900908;68,8;60,7;4,3;24;3,3;24;7;999,9;82.4*;60.8*;0.00I;999,9;0
85360;19900909;68,8;61,6;4,2;24;3,7;24;11,1;999,9;78.8*;62.6*;0.00I;999,9;0
85360;19900910;71,7;60,3;5,9;24;3,2;24;8;999,9;82.4*;64.4*;0.00I;999,9;0
85360;19900911;72;62,9;6,5;24;3,7;24;9,9;999,9;82.4*;64.4*;99,99;999,9;10000
85360;19900912;72,5;68,1;5,9;24;6,8;24;11,1;999,9;78.8*;66.2*;99,99;999,9;10000
85360;19900913;69,7;63,7;5,6;24;2,6;24;8;999,9;78.8*;62.6*;0.00I;999,9;100000
85360;19900914;71,5;63,2;5,1;24;2;24;8,9;999,9;82.4*;62.6*;0.00I;999,9;0
85360;19900915;72,6;64,1;6,3;24;4;24;11,1;999,9;86.0*;62.6*;0.00I;999,9;0
85360;19900916;72,5;64;6,5;24;7,1;24;18,1;24,1;84.2*;66.2*;0.00I;999,9;0
85360;19900917;71,8;63,5;4,2;23;5,5;23;12;999,9;82.4*;64.4*;0.00I;999,9;0
85360;19900918;75,6;62,3;6,1;24;5,3;24;8,9;999,9;87.8*;69.8*;99,99;999,9;10010
85360;19900919;73,2;67,1;6;24;5,1;24;8;999,9;82.4*;68.0*;0.00I;999,9;10
85360;19900920;70,9;64,7;4,2;17;2,3;17;8,9;999,9;82.4*;64.4*;0.00I;999,9;0
85360;19900921;70,4;62,7;5,3;24;5,2;24;13;999,9;80.6*;62.6*;0.00I;999,9;0
85360;19900922;68,4;59,8;6,6;24;5,6;23;12;999,9;77.0*;62.6*;0.00I;999,9;0
85360;19900923;68,1;61,1;6,8;24;5;24;11,1;999,9;75.2*;59.0*;99,99;999,9;10000
85360;19900924;67,3;61;6,7;24;3,8;24;11,1;999,9;73.4*;60.8*;0.00I;999,9;0
85360;19900925;66,7;60,5;6,7;24;3,7;24;8,9;999,9;75.2*;59.0*;0.00I;999,9;0
85360;19900926;70,4;63,7;6,7;24;5,4;24;12;999,9;82.4*;62.6*;0.00I;999,9;0
85360;19900927;74,8;64,1;6,3;24;6,9;24;15;999,9;86.0*;66.2*;0.00I;999,9;0
